country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Andorra,AD,AND,20,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,30.14999962,Male,Units,%,Modelled,,,Total
Andorra,AD,AND,20,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,28.5,Total,Units,%,Modelled,,,Total
Angola,AO,AGO,24,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,11.61999989,Female,Units,%,Modelled,,,Total
Angola,AO,AGO,24,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,13.57999992,Male,Units,%,Modelled,,,Total
Angola,AO,AGO,24,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,12.600000380000001,Total,Units,%,Modelled,,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,44.40999985,Female,Units,%,Modelled,,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,44.72000122,Male,Units,%,Modelled,,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,44.56999969,Total,Units,%,Modelled,,,Total
Argentina,AR,ARG,32,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,41.04999924,Female,Units,%,Modelled,,,Total
Argentina,AR,ARG,32,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,41.13000107,Male,Units,%,Modelled,,,Total
Argentina,AR,ARG,32,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,41.09000015,Total,Units,%,Modelled,,,Total
Armenia,AM,ARM,51,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,20.37000084,Female,Units,%,Modelled,,,Total
Armenia,AM,ARM,51,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,29.07999992,Male,Units,%,Modelled,,,Total
Armenia,AM,ARM,51,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,24.94000053,Total,Units,%,Modelled,,,Total
Australia,AU,AUS,36,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,36.68000031,Female,Units,%,Modelled,,,Total
Australia,AU,AUS,36,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,36.11000061,Male,Units,%,Modelled,,,Total
Australia,AU,AUS,36,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,36.38999939,Total,Units,%,Modelled,,,Total
Austria,AT,AUT,40,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,25.17000008,Female,Units,%,Modelled,,,Total
Austria,AT,AUT,40,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,31.62999916,Male,Units,%,Modelled,,,Total
Austria,AT,AUT,40,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,28.48999977,Total,Units,%,Modelled,,,Total
Azerbaijan,AZ,AZE,31,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,24.02000046,Female,Units,%,Modelled,,,Total
Azerbaijan,AZ,AZE,31,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,25.549999239999998,Male,Units,%,Modelled,,,Total
Azerbaijan,AZ,AZE,31,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,24.84000015,Total,Units,%,Modelled,,,Total
Bahamas,BS,BHS,44,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,51.54999924,Female,Units,%,Modelled,,,Total
Bahamas,BS,BHS,44,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,47.84000015,Male,Units,%,Modelled,,,Total
Bahamas,BS,BHS,44,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,49.70000076,Total,Units,%,Modelled,,,Total
Bahrain,BH,BHR,48,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,38.56000137,Female,Units,%,Modelled,,,Total
Bahrain,BH,BHR,48,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,42.40000153,Male,Units,%,Modelled,,,Total
Bahrain,BH,BHR,48,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,40.50999832,Total,Units,%,Modelled,,,Total
Bangladesh,BD,BGD,50,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,9.470000267,Female,Units,%,Modelled,,,Total
Bangladesh,BD,BGD,50,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,7.1199998859999996,Male,Units,%,Modelled,,,Total
Bangladesh,BD,BGD,50,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,8.270000458,Total,Units,%,Modelled,,,Total
Barbados,BB,BRB,52,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,41.25999832,Female,Units,%,Modelled,,,Total
Barbados,BB,BRB,52,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,42.75,Male,Units,%,Modelled,,,Total
Barbados,BB,BRB,52,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,42.02000046,Total,Units,%,Modelled,,,Total
Belarus,BY,BLR,112,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,16.97999954,Female,Units,%,Modelled,,,Total
Belarus,BY,BLR,112,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,26.94000053,Male,Units,%,Modelled,,,Total
Belarus,BY,BLR,112,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,22.06999969,Total,Units,%,Modelled,,,Total
Belgium,BE,BEL,56,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,20.44000053,Female,Units,%,Modelled,,,Total
Belgium,BE,BEL,56,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,22.22999954,Male,Units,%,Modelled,,,Total
Belgium,BE,BEL,56,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,21.35000038,Total,Units,%,Modelled,,,Total
Belize,BZ,BLZ,84,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,43.45999908,Female,Units,%,Modelled,,,Total
Belize,BZ,BLZ,84,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,44.20999908,Male,Units,%,Modelled,,,Total
Belize,BZ,BLZ,84,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,43.84000015,Total,Units,%,Modelled,,,Total
Benin,BJ,BEN,204,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,13.47999954,Female,Units,%,Modelled,,,Total
Benin,BJ,BEN,204,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,14.15999985,Male,Units,%,Modelled,,,Total
Benin,BJ,BEN,204,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,13.82999992,Total,Units,%,Modelled,,,Total
Bermuda,BM,BMU,60,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,36.45000076,Female,Units,%,Modelled,,,Total
Bermuda,BM,BMU,60,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,38.63000107,Male,Units,%,Modelled,,,Total
Bermuda,BM,BMU,60,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,37.56999969,Total,Units,%,Modelled,,,Total
Bhutan,BT,BTN,64,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,22.07999992,Female,Units,%,Modelled,,,Total
Bhutan,BT,BTN,64,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,14.40999985,Male,Units,%,Modelled,,,Total
Bhutan,BT,BTN,64,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,18.12999916,Total,Units,%,Modelled,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,33.38999939,Female,Units,%,Modelled,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,47.06999969,Male,Units,%,Modelled,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,40.34999847,Total,Units,%,Modelled,,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,26.40999985,Female,Units,%,Modelled,,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,36.77999878,Male,Units,%,Modelled,,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,31.700000760000002,Total,Units,%,Modelled,,,Total
Botswana,BW,BWA,72,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,14.61999989,Female,Units,%,Modelled,,,Total
Botswana,BW,BWA,72,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,16.71999931,Male,Units,%,Modelled,,,Total
Botswana,BW,BWA,72,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,15.68999958,Total,Units,%,Modelled,,,Total
Brazil,BR,BRA,76,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,36,Female,Units,%,Modelled,,,Total
Brazil,BR,BRA,76,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,35.77999878,Male,Units,%,Modelled,,,Total
Brazil,BR,BRA,76,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,35.88999939,Total,Units,%,Modelled,,,Total
Brunei,BN,BRN,96,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,39.15999985,Female,Units,%,Modelled,,,Total
Brunei,BN,BRN,96,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,44.15999985,Male,Units,%,Modelled,,,Total
Brunei,BN,BRN,96,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,41.74000168,Total,Units,%,Modelled,,,Total
Bulgaria,BG,BGR,100,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,24.39999962,Female,Units,%,Modelled,,,Total
Bulgaria,BG,BGR,100,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,33.65000153,Male,Units,%,Modelled,,,Total
Bulgaria,BG,BGR,100,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,29.17000008,Total,Units,%,Modelled,,,Total
Burkina Faso,BF,BFA,854,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,8.159999847,Female,Units,%,Modelled,,,Total
Burkina Faso,BF,BFA,854,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,5.28000021,Male,Units,%,Modelled,,,Total
Burkina Faso,BF,BFA,854,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,6.699999809,Total,Units,%,Modelled,,,Total
Burundi,BI,BDI,108,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,5.389999866,Female,Units,%,Modelled,,,Total
Burundi,BI,BDI,108,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,10.40999985,Male,Units,%,Modelled,,,Total
Burundi,BI,BDI,108,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,7.909999847,Total,Units,%,Modelled,,,Total
Cape Verde,CV,CPV,132,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,16.87999916,Female,Units,%,Modelled,,,Total
Cape Verde,CV,CPV,132,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,9.229999542,Male,Units,%,Modelled,,,Total
Cape Verde,CV,CPV,132,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,13,Total,Units,%,Modelled,,,Total
Cambodia,KH,KHM,116,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,8.510000229,Female,Units,%,Modelled,,,Total
Cambodia,KH,KHM,116,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,20.37000084,Male,Units,%,Modelled,,,Total
Cambodia,KH,KHM,116,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,14.57999992,Total,Units,%,Modelled,,,Total
Cameroon,CM,CMR,120,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,19.62000084,Female,Units,%,Modelled,,,Total
Cameroon,CM,CMR,120,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,14.01000023,Male,Units,%,Modelled,,,Total
Cameroon,CM,CMR,120,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,16.799999239999998,Total,Units,%,Modelled,,,Total
Canada,CA,CAN,124,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,26.48999977,Female,Units,%,Modelled,,,Total
Canada,CA,CAN,124,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,29.42000008,Male,Units,%,Modelled,,,Total
Canada,CA,CAN,124,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,27.97999954,Total,Units,%,Modelled,,,Total
Central African Republic,CF,CAF,140,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,13.53999996,Female,Units,%,Modelled,,,Total
Central African Republic,CF,CAF,140,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,15.86999989,Male,Units,%,Modelled,,,Total
Central African Republic,CF,CAF,140,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,14.72000027,Total,Units,%,Modelled,,,Total
Chad,TD,TCD,148,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,8.239999771,Female,Units,%,Modelled,,,Total
Chad,TD,TCD,148,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,13.09000015,Male,Units,%,Modelled,,,Total
Chad,TD,TCD,148,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,10.69999981,Total,Units,%,Modelled,,,Total
Chile,CL,CHL,152,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,55.70000076,Female,Units,%,Modelled,,,Total
Chile,CL,CHL,152,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,59.95999908,Male,Units,%,Modelled,,,Total
Chile,CL,CHL,152,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,57.86999893,Total,Units,%,Modelled,,,Total
China,CN,CHN,156,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,20.06999969,Female,Units,%,Modelled,,,Total
China,CN,CHN,156,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,25.12000084,Male,Units,%,Modelled,,,Total
China,CN,CHN,156,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,22.79000092,Total,Units,%,Modelled,,,Total
Colombia,CO,COL,170,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,30.77000046,Female,Units,%,Modelled,,,Total
Colombia,CO,COL,170,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,24.57999992,Male,Units,%,Modelled,,,Total
Colombia,CO,COL,170,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,27.62000084,Total,Units,%,Modelled,,,Total
Comoros,KM,COM,174,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,16.81999969,Female,Units,%,Modelled,,,Total
Comoros,KM,COM,174,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,10.32999992,Male,Units,%,Modelled,,,Total
Comoros,KM,COM,174,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,13.53999996,Total,Units,%,Modelled,,,Total
Congo,CG,COG,178,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,8.859999657,Female,Units,%,Modelled,,,Total
Congo,CG,COG,178,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,12.36999989,Male,Units,%,Modelled,,,Total
Congo,CG,COG,178,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,10.63000011,Total,Units,%,Modelled,,,Total
Cook Islands,CK,COK,184,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,60.47000122,Female,Units,%,Modelled,,,Total
Cook Islands,CK,COK,184,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,64.08000183,Male,Units,%,Modelled,,,Total
Cook Islands,CK,COK,184,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,62.27999878,Total,Units,%,Modelled,,,Total
Costa Rica,CR,CRI,188,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,34.63999939,Female,Units,%,Modelled,,,Total
Costa Rica,CR,CRI,188,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,33.16999817,Male,Units,%,Modelled,,,Total
Costa Rica,CR,CRI,188,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,33.88999939,Total,Units,%,Modelled,,,Total
Croatia,HR,HRV,191,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,24.06999969,Female,Units,%,Modelled,,,Total
Croatia,HR,HRV,191,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,29.299999239999998,Male,Units,%,Modelled,,,Total
Croatia,HR,HRV,191,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,26.76000023,Total,Units,%,Modelled,,,Total
Cuba,CU,CUB,192,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,34.41999817,Female,Units,%,Modelled,,,Total
Cuba,CU,CUB,192,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,39.70999908,Male,Units,%,Modelled,,,Total
Cuba,CU,CUB,192,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,37.15000153,Total,Units,%,Modelled,,,Total
Cyprus,CY,CYP,196,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,29,Female,Units,%,Modelled,,,Total
Cyprus,CY,CYP,196,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,36.75999832,Male,Units,%,Modelled,,,Total
Cyprus,CY,CYP,196,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,32.97999954,Total,Units,%,Modelled,,,Total
Czech Republic,CZ,CZE,203,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,14.77999973,Female,Units,%,Modelled,,,Total
Czech Republic,CZ,CZE,203,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,18.82999992,Male,Units,%,Modelled,,,Total
Czech Republic,CZ,CZE,203,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,16.86000061,Total,Units,%,Modelled,,,Total
Ivory Coast,CI,CIV,384,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,16.950000760000002,Female,Units,%,Modelled,,,Total
Ivory Coast,CI,CIV,384,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,15.93000031,Male,Units,%,Modelled,,,Total
Ivory Coast,CI,CIV,384,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,16.44000053,Total,Units,%,Modelled,,,Total
"Korea, Democratic People's Republic of",KP,PRK,408,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,17.38999939,Female,Units,%,Modelled,,,Total
"Korea, Democratic People's Republic of",KP,PRK,408,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,24.37000084,Male,Units,%,Modelled,,,Total
"Korea, Democratic People's Republic of",KP,PRK,408,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,20.95999908,Total,Units,%,Modelled,,,Total
"Congo, the Democratic Republic of the",CD,COD,180,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,14.68000031,Female,Units,%,Modelled,,,Total
"Congo, the Democratic Republic of the",CD,COD,180,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,15.59000015,Male,Units,%,Modelled,,,Total
"Congo, the Democratic Republic of the",CD,COD,180,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,15.14000034,Total,Units,%,Modelled,,,Total
Denmark,DK,DNK,208,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,14.77999973,Female,Units,%,Modelled,,,Total
Denmark,DK,DNK,208,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,23.09000015,Male,Units,%,Modelled,,,Total
Denmark,DK,DNK,208,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,19.04000092,Total,Units,%,Modelled,,,Total
Djibouti,DJ,DJI,262,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,12.47999954,Female,Units,%,Modelled,,,Total
Djibouti,DJ,DJI,262,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,9.850000381,Male,Units,%,Modelled,,,Total
Djibouti,DJ,DJI,262,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,11.149999619999999,Total,Units,%,Modelled,,,Total
Dominica,DM,DMA,212,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,38.25999832,Female,Units,%,Modelled,,,Total
Dominica,DM,DMA,212,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,35.41999817,Male,Units,%,Modelled,,,Total
Dominica,DM,DMA,212,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,36.83000183,Total,Units,%,Modelled,,,Total
Dominican Republic,DO,DOM,214,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,32.74000168,Female,Units,%,Modelled,,,Total
Dominican Republic,DO,DOM,214,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,32.77000046,Male,Units,%,Modelled,,,Total
